Time,Open,Close,High,Low,Amount,Volume
2023-03-11 10:50:00,1426.5,1426.98,1429.1,1426.14,145.9931867,208406.81940157
2023-03-11 10:55:00,1426.98,1426.12,1428.79,1425.71,79.2755002,113158.745743482
2023-03-11 11:00:00,1426.38,1427.44,1428.16,1423.73,111.0274816,158349.798082325
2023-03-11 11:05:00,1427.37,1429.6,1429.8,1427.3,118.7558356,169616.923837804
2023-03-11 11:10:00,1429.6,1428.1,1429.92,1426.71,226.8329905,324158.529056149
2023-03-11 11:15:00,1428.11,1428.04,1429.53,1427.07,195.6744732,279490.159853576
2023-03-11 11:20:00,1427.96,1426.92,1428.5,1425.56,165.285722,235874.547101698
2023-03-11 11:25:00,1427.09,1426.87,1428.9,1424.96,227.9766511,325234.188355514
2023-03-11 11:30:00,1426.53,1418.11,1426.73,1418.11,618.6838769,880494.836389011
2023-03-11 11:35:00,1418.12,1423.36,1423.79,1416.27,458.6452761,651389.270918535
2023-03-11 11:40:00,1423.37,1421.7,1424.4,1420.16,407.8637695,580301.188124797
2023-03-11 11:45:00,1421.69,1425.85,1427.76,1419.51,481.0197894,685002.626611467
2023-03-11 11:50:00,1426.07,1423.92,1426.76,1422.32,169.0737365,240820.789192398
2023-03-11 11:55:00,1423.92,1427.27,1427.44,1422.83,90.9137432,129550.521144979
2023-03-11 12:00:00,1427.24,1428.34,1428.49,1426.06,122.8704456,175403.965525488
2023-03-11 12:05:00,1428.34,1429.35,1429.81,1427.14,141.6310371,202253.061537307
2023-03-11 12:10:00,1429.11,1426.03,1429.2,1425.98,109.1744493,155779.86719406
2023-03-11 12:15:00,1425.92,1425.97,1427.4,1425.69,133.5668301,190531.90035381
2023-03-11 12:20:00,1425.97,1433.63,1434.05,1425.59,124.6780927,178299.290051601
2023-03-11 12:25:00,1433.15,1432.58,1433.54,1431.27,186.7655995,267544.6212251
2023-03-11 12:30:00,1432.29,1430.8,1433.25,1429.95,152.8146147,218732.446965399
2023-03-11 12:35:00,1430.52,1429.93,1431.08,1429.42,106.6603907,152562.797639271
2023-03-11 12:40:00,1429.92,1429.96,1431.55,1429.39,61.2791206,87652.957113596
2023-03-11 12:45:00,1429.96,1428.13,1429.96,1426.61,77.6125294,110856.544448174
2023-03-11 12:50:00,1428.14,1427.08,1428.81,1426.16,73.9607097,105596.471726048
2023-03-11 12:55:00,1427.09,1426.49,1427.87,1426.43,52.8420375,75410.978070332
2023-03-11 13:00:00,1426.36,1429.46,1429.68,1426.36,95.1586483,135895.306942543
